,track_name,artist,album_name,date_listened,uts,url,tags
0,Untouched,SilenCee,Untouched,"07 Dec 2022, 09:30",1670405412,https://www.last.fm/music/SilenCee/_/Untouched,electronic
1,maria,Malte,maria,"07 Dec 2022, 09:18",1670404731,https://www.last.fm/music/Malte/_/maria,german
2,let me go,Malte,let me go,"07 Dec 2022, 09:16",1670404596,https://www.last.fm/music/Malte/_/let+me+go,german
3,So What,mqx,So What,"07 Dec 2022, 09:14",1670404473,https://www.last.fm/music/mqx/_/So+What,hardstyle
4,maria,Malte,maria,"07 Dec 2022, 09:11",1670404288,https://www.last.fm/music/Malte/_/maria,german
5,in your eyes,ARMUT,in your eyes,"07 Dec 2022, 09:07",1670404059,https://www.last.fm/music/ARMUT/_/in+your+eyes,hardstyle
6,take it off,ARMUT,take it off,"07 Dec 2022, 08:08",1670400510,https://www.last.fm/music/ARMUT/_/take+it+off,hardstyle
7,I Wanna Be a Star,Overrated,I Wanna Be a Star,"07 Dec 2022, 07:50",1670399443,https://www.last.fm/music/Overrated/_/I+Wanna+Be+a+Star,alternative
8,Bella Ciao,Gunz For Hire,Bella Ciao,"07 Dec 2022, 07:47",1670399257,https://www.last.fm/music/Gunz+For+Hire/_/Bella+Ciao,hardstyle
9,Fire,Phuture Noize,Pursuit of Thunder,"07 Dec 2022, 07:44",1670399059,https://www.last.fm/music/Phuture+Noize/_/Fire,hardstyle
10,malo tebya,Nxrt,malo tebya,"07 Dec 2022, 07:40",1670398850,https://www.last.fm/music/Nxrt/_/malo+tebya,[]
11,Trust,SilenCee,Trust,"07 Dec 2022, 07:38",1670398715,https://www.last.fm/music/SilenCee/_/Trust,electronic
12,Trust,SilenCee,Trust,"07 Dec 2022, 06:29",1670394592,https://www.last.fm/music/SilenCee/_/Trust,electronic
13,ice,Malte,ice,"07 Dec 2022, 06:18",1670393916,https://www.last.fm/music/Malte/_/ice,german
14,Die a Demon King,Overrated,Die a Demon King,"07 Dec 2022, 06:15",1670393726,https://www.last.fm/music/Overrated/_/Die+a+Demon+King,alternative
15,Drown,D-Sturb,Drown,"07 Dec 2022, 06:13",1670393588,https://www.last.fm/music/D-Sturb/_/Drown,hardstyle
16,Untouched,SilenCee,Untouched,"07 Dec 2022, 06:02",1670392967,https://www.last.fm/music/SilenCee/_/Untouched,electronic
17,hold me,yeahyeahyeah,CYBERSPACE,"07 Dec 2022, 05:59",1670392783,https://www.last.fm/music/yeahyeahyeah/_/hold+me,indie
18,Save Me from Myself,Overrated,Save Me from Myself,"07 Dec 2022, 05:57",1670392628,https://www.last.fm/music/Overrated/_/Save+Me+from+Myself,alternative
